,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,model_name,mean_squared_error,mean_absolute_error,root_mean_squared_error,r2_score_,mape
0,0,0,0,naive,680.4166,18.507,26.0848,0.8416,7.5516
1,1,1,1,tft,494.034,15.7214,22.2269,0.885,6.4413
2,2,2,2,lstm,2164.3319,41.7699,46.5224,0.4961,17.0413
3,3,3,3,nbeats,1332.4003,27.8837,36.5021,0.6898,10.9623
4,4,4,4,deepar,19141.9983,131.7028,138.3546,-3.457,55.5346
5,5,5,5,tcn,2710.0714,47.6637,52.0583,0.369,19.5002
6,6,6,6,transformer,2283.4162,41.826,47.7851,0.4683,16.483
7,7,7,7,arima,609.7563,17.448,24.6932,0.858,7.1174
8,8,8,8,exponential_smoothing,700.4801,18.8689,26.4666,0.8369,7.6474
9,9,9,9,theta,680.3904,18.4945,26.0843,0.8416,7.548
10,10,10,10,fft,6341.1513,58.8585,79.6313,-0.4765,20.9765
