,Unnamed: 0,model_name,mean_squared_error,mean_absolute_error,root_mean_squared_error,r2_score_,mape
0,0,naive,3808.493,50.7765,61.713,-1.3126,21.4781
1,1,tft,8805.871,69.4283,93.8396,-4.3471,29.4499
2,2,lstm,2110.213,36.3327,45.9371,-0.2814,14.5081
3,3,nbeats,7638.1423,69.2761,87.3965,-3.638,27.3918
4,4,deepar,4247.5622,53.6133,65.1733,-1.5792,21.681
5,5,tcn,2815.439,41.112,53.0607,-0.7096,16.4957
6,6,transformer,1998.0133,35.0836,44.6991,-0.2132,14.2247
7,7,arima,3594.8102,50.0553,59.9567,-1.1828,22.4499
8,8,exponential_smoothing,4917.3791,59.5156,70.124,-1.9859,25.3462
9,9,theta,4104.6739,52.4786,64.0677,-1.4924,22.3683
10,10,fft,3350.4213,41.4947,57.8828,-1.0344,16.0627
