model_name,mean_squared_error,mean_absolute_error,root_mean_squared_error,r2_score_
naive,6287.0444,61.4045,79.2909,-0.4391
tft,2472.2639,36.2344,49.7219,0.4341
lstm,8149.9147,74.4279,90.2769,-0.8655
nbeats,8905.7628,77.1808,94.3703,-1.0386
deepar,26829.7742,148.1671,163.798,-5.1414
tcn,8963.9159,76.0906,94.678,-1.0519
transformer,7414.5251,67.2404,86.1076,-0.6972
arima,4427.9304,50.4179,66.5427,-0.0136
exponential_smoothing,6454.5072,62.3673,80.3399,-0.4775
theta,6288.4109,61.4604,79.2995,-0.4394
fft,11433.4513,78.2073,106.9273,-1.6171
