model_name,mean_squared_error,mean_absolute_error,root_mean_squared_error,r2_score_
naive,6287.0444,61.4045,79.2909,-0.4391
tft,3951.5883,51.2105,62.8617,0.0955
lstm,7762.7777,69.8758,88.1066,-0.7769
nbeats,9197.6224,77.3075,95.9042,-1.1054
deepar,4244.3636,51.5311,65.1488,0.0285
tcn,12043.3057,85.9327,109.742,-1.7567
transformer,9998.0699,76.9394,99.9903,-1.2886
arima,4427.9304,50.4179,66.5427,-0.0136
exponential_smoothing,6454.5072,62.3673,80.3399,-0.4775
theta,6288.4109,61.4604,79.2995,-0.4394
fft,11433.4513,78.2073,106.9273,-1.6171
