naive,tft,lstm,nbeats,deepar,tcn,transformer,arima,exponential_smoothing,theta,fft,real
260.5676056338028,297.23919517286515,290.8406331102464,250.59236686180304,285.82078531772805,251.43009641693678,222.72359937420217,311.60297496537817,260.4257021682988,262.17113008999667,194.63219299041901,233.55307454482994
267.6756448624768,309.27889687353724,310.5963013202686,245.24061841048643,294.83661667992016,244.68938803338935,224.34383456144684,316.63408810038686,267.8659582881775,269.27925605672266,193.70261347231295,236.97809762202755
287.87752419643925,319.20792566328146,339.9946833470081,252.36198039986886,303.8695941027417,248.3091129034826,226.2279110309578,326.01674858630025,288.6657536418039,289.4827459036707,193.70497463974255,251.06864397258735
285.948661233993,326.970820696141,369.3467565008784,249.37158140325633,318.39548763528114,237.87370776249708,228.5228881487241,311.98650077943824,286.64150948113223,287.555327693856,192.82585740155247,281.19558208955226
287.7296635086573,325.4637055524905,389.7542808516893,245.23933808785281,366.17749725569075,239.99898383390988,230.88213688716084,298.01204982533443,288.3394872836072,289.3378900895206,194.78143116916854,289.3129161118509
317.0827516325152,333.7327581351308,400.0205644247878,232.83336105814084,384.7845813568725,248.24235372459765,232.90326119874297,309.0705693467248,318.17557927427674,318.69473465602283,197.12492640308244,310.003120124805
336.1805364511692,354.7229576813109,402.9313135598737,228.29047038420532,403.7154125449722,258.4902606488152,235.73318144244942,310.88052576242364,337.8572355623441,337.7976824046325,240.5780760952324,327.42716108836987
346.6646979865772,270.52727774799945,399.8723116528902,214.9464724785766,391.9244762895154,263.8433243305387,237.6897182352824,314.33476318940285,348.88689343758693,348.2877534992427,238.09712486551743,204.8597194388778
369.34865323036354,226.74809613933778,391.03386875780654,215.36960844205277,384.909745143186,278.37726038403383,239.6824653516565,328.917108008795,372.19223302067275,370.97927402375666,257.5230384719814,180.25666666666666
400.3445227705046,197.73367819974516,377.1922776697175,225.8848375481284,380.9239755305174,279.4976119138857,242.50618893869444,357.08986812448654,403.69452251342324,401.9849738543522,253.41919030753346,218.75796930342386
374.86032082324454,192.31251625226892,358.0708952087753,221.07647599343176,385.4279269033471,272.0815090983321,214.79893769639293,338.0248417214767,377.52410541744825,376.5086282589002,247.38638427724916,217.0748717948718
293.36243570137634,205.45171875672634,329.86393980493943,205.90740914257705,393.7237864533039,217.77909537609494,200.5034873546478,275.3137228166106,293.94178889813054,295.0124625935797,239.23493049298952,228.14693877551022
256.74470457079155,226.54964680139565,296.4306988857862,199.47333529982026,399.98491198441457,193.12080541084003,193.612632843382,251.089239212176,256.4013926505267,258.3937030294475,229.82678508096816,236.73627362736275
232.10385134122583,248.24688768510072,268.60996297715224,193.6233932458608,411.10587274150606,161.48605757938856,186.31678673718255,237.06437108176522,231.58530944609086,233.7499874568289,222.79885236214184,244.71827613727058
210.78655462184878,297.95157271605945,251.28329456050278,199.2910252363936,432.8707159480364,161.80310134717504,180.76116614949927,227.04961827674146,209.65940771492316,212.4282554094346,213.31795766838167,264.23713420787084
188.58005010248235,299.99863584776216,241.66935805796493,207.38330950088974,442.7451269127388,151.7887885883488,176.1927102827489,217.07611138589988,186.89812194332097,190.2156895096355,203.8406362309905,271.5972350230415
178.0540075140889,310.2003630970944,235.3082409171747,216.71573607316677,466.03209105797464,162.16006984978657,174.5253235432662,220.60410630363984,175.9759117245193,179.68283487902238,194.8849960482087,267.1559086395233
178.37530072173215,322.7872839327797,228.959259387303,229.7435425741426,478.032142358429,160.15956060401362,175.19576780193705,235.07236286066657,176.21260672526546,179.99737101364317,181.17564470829188,274.4981549815498
199.91764705882355,330.18811195962877,222.16642819641362,232.7692771660592,474.8196752649705,170.84323341975718,175.4418523908679,258.82273250657056,198.1902685122835,201.53457523428992,184.70819471862475,272.5268022181146
179.15245623941277,308.93925308459296,217.28290573903374,231.17569626679486,450.3092896973667,171.561962750827,176.42389012892224,240.03096924271264,176.99490044722288,180.76274054516037,197.59309753369044,239.50142811805776
187.33509053403623,286.8311505617151,216.06359994196185,230.20817077695978,414.09819340548415,179.66337727293268,179.7046852782283,238.9263771618908,185.6945121223402,188.93935952268663,194.32019073975368,208.84245562130178
205.84945652173917,257.20238315440537,222.2933970004471,213.93205405403742,373.3047008990115,209.13878028042748,208.28927221496838,247.92946353369658,204.43331993411738,207.4490902635663,191.88697919712905,198.41141635137362
213.65547249804752,227.9472164000919,236.78358211604342,208.23268137005448,334.7149198536934,223.19317026912873,218.25994927035694,241.7246959297373,212.39187883931757,215.25105894460597,190.26030865646615,194.33268892794376
226.21259930625493,205.28621351708594,257.4122893419834,223.4944155696318,294.4157341547782,229.4411216741619,220.239011145094,234.94774845548474,225.25218601691262,227.80506707094415,189.50754634064825,176.2334568554791
233.55307454482994,191.43366095690385,281.66573258440104,247.07921959612267,267.67400565562104,246.66359161721942,222.62240063934155,231.29005666028752,232.79825223056997,235.14296620600732,189.54822901298556,171.34438596491228
236.97809762202755,186.53000724214505,305.8474592551323,276.7794512631404,255.51021370746878,248.22255999433764,224.8355773298345,228.29437819729515,236.41023899628988,238.56566737889622,190.2699088171921,180.32009029345372
251.06864397258735,189.72620140495366,326.6438419907021,278.9544097908859,259.2290038745934,252.27727250114063,228.38131620410124,234.69021226582333,250.9549886929659,252.65491559161657,232.00316603020894,196.74265618535378
281.19558208955226,201.84601575055294,343.2027630594458,270.09420311376897,259.1823188411401,255.62564163877695,233.67903661331695,255.18530652234,281.68443971961943,282.78272939449806,233.04450756211463,208.2099385817979
289.3129161118509,233.11175992778553,355.1910797212156,261.1278460281627,266.5961701760856,264.58441365767203,236.32549615951345,258.3796655072543,289.79751221479876,290.9015099200184,252.18660092737795,259.2880680308265
310.003120124805,293.06821417085695,363.1173471909689,257.26295205414084,278.6218913033375,273.0385169911795,238.6027148830039,273.8501261629919,311.09478703219884,311.5946299456023,252.14778087422627,266.5544093178037
327.42716108836987,301.5423156712904,366.52651654307056,248.12265087185574,294.1986893130393,271.4930514768072,240.12295726981102,291.0440626114856,328.8541066179082,329.0228109686264,250.33677500785694,276.13834817991864
204.8597194388778,315.46021229386344,350.44777995673235,236.0774153224343,315.0711771027309,180.4314344406812,215.11125055078878,193.54504666098399,203.38517346876685,206.45069625007017,245.60009814429,288.81399449035814
180.25666666666666,330.2797194699373,322.1606300659488,210.5489296497214,338.23330723376273,198.32100269241255,214.63143281290863,177.26805204520747,178.2764246579787,181.8412262098179,239.14474418454697,290.9064622124863
218.75796930342386,338.1271010941047,292.55845710931305,212.52745731113367,338.00595753766066,203.07488936990617,220.0344851889656,214.73570291243732,217.6624438173674,220.33888825383377,231.8893001548973,285.8342661130168
217.0748717948718,314.66526869401747,272.4432033683669,212.52794912651862,321.0588401560053,226.11054743545802,222.5673256684976,215.83791212105248,215.9124262077729,218.65204413474387,223.80996265060924,256.9930410577592
228.14693877551022,288.7085244111502,263.2062270836506,222.43386932104897,300.85341988165095,208.63127062192063,223.7032393850714,228.90360691774663,227.1026965476092,229.7211636052887,215.40547007068855,229.11701127819552
236.73627362736275,256.08845756253686,262.6702588657922,226.90738554228813,279.2961767426935,216.466347603527,227.3265926586137,246.00464695944163,236.05335433064798,238.30816865411444,207.02504152859527,205.3818439269981
244.71827613727058,225.42528327827557,267.1588110990381,246.83101644309616,266.8391247491063,214.50029885692862,228.83143738130644,261.55595596810076,244.68766127669096,246.2884109581143,199.30076682535318,189.23627565493078
264.23713420787084,203.43763698499464,274.4812276053437,269.5449775620671,253.9928938891317,220.41729017761162,231.1512253700408,278.2781975850275,264.3806756742149,265.8068888759278,192.3520951576704,178.8584379358438
271.5972350230415,191.4984348614965,283.0634167839998,287.8525523110423,247.5508386012743,227.04793013408522,236.91023844403335,281.1951847046346,271.66805751492075,273.1671218922005,202.1668926509591,181.91463197291034
267.1559086395233,188.45581893011334,291.3324313175061,297.5479636279196,248.5311115645089,242.92621591875974,237.2786648836133,266.35856383574594,267.23191832554573,268.72560517045406,193.86494558132708,182.18977777777778
274.4981549815498,192.6757381254284,297.9820275474568,313.3025664640423,255.96000615160744,252.69986428616295,238.80383870926227,266.04265266662026,274.7108714428057,276.0681684325931,185.3452374123943,193.84385165907614
272.5268022181146,205.70187243584073,301.17885382905007,342.93633036785604,260.3727087836715,257.77484715366035,241.212722098609,264.323674966676,272.63580201702786,274.096983677035,190.23624342646062,180.39933571793563
239.50142811805776,237.32503781751214,290.8106750078935,349.1705702017357,277.9376113503001,209.77669695440298,194.56529371495805,226.22026221479004,238.99330507531872,241.06945742190183,188.02316988938216,255.84065244667505
208.84245562130178,296.73382681290974,271.3539311436129,353.8811483465034,288.78654530068866,205.3760695663227,187.4619430924643,202.4061370871916,207.67462973518832,210.40619527421222,186.13190936509375,271.99571447703227
198.41141635137362,303.42411163099473,249.38541762915045,366.56668615297696,300.41894629734685,187.75898458920585,183.26296815340578,202.35481450994672,196.86050600088745,199.97015543839598,184.80332403610058,287.57377049180326
194.33268892794376,314.6298651212402,230.95831534012726,346.8837236230118,305.5732432857719,163.87348179244924,178.33182821940082,203.24377723089097,192.66388882140504,195.88616441077514,184.10834971701942,276.0400860909335
176.2334568554791,324.31751607735004,218.18715218569469,318.1194614971775,314.2093985400076,164.29309474852002,174.6952850222558,194.25447905721165,174.0028625215107,177.7804347797317,195.33852082026235,298.0361784805038
171.34438596491228,323.41789477602055,210.6587019643081,269.4610887778318,315.78814242247955,170.67710834075913,174.9473294614731,195.98271891739464,169.14082597785776,172.8845565032332,216.50335173263178,309.9685039370079
180.32009029345372,310.18647050880037,206.4648219701312,229.54142461253196,310.6322810059659,161.50621257960557,174.4981822758004,208.12123392773293,178.41549346124884,181.85410507408594,216.4091730705838,313.9390374331551
196.74265618535378,283.19473337098714,206.29295137001995,208.28016253898957,294.35175043675133,180.93169878391043,182.10467437697991,224.20078850098122,195.3768406255505,198.27167576078403,220.8824486582301,330.61345496009125
208.2099385817979,246.63900816875645,208.98750773150263,189.29477671814223,278.4697288356429,170.59043322940897,184.00865491901135,231.5737027562558,207.17774122276666,209.73477333798056,217.73584288226658,269.06181277860327
259.2880680308265,210.59037675552977,222.01122191747356,199.01573564095227,258.0237874691175,228.11147415548982,230.47888266865334,265.8081960679505,259.23187939183344,260.81224375207745,233.7440240836435,216.5961199294533
266.5544093178037,179.5210388492388,244.3935973139745,200.37913990956847,247.7168798317128,223.1376954531315,232.3425168851625,265.5550221061538,266.84421935650624,268.07842083815416,231.7883974896956,205.1988008835595
276.13834817991864,158.50516712926066,274.35937023524866,197.42961937993243,234.6874040331423,232.81217364146266,233.67076202181315,265.5050102362264,276.29201912287397,277.66284323341074,228.75813796245893,204.42112389979692
288.81399449035814,146.97325523881682,307.0372624214908,203.1073232453723,233.50026715059468,241.48838527069074,235.28246112045983,267.01662074146566,289.20924700207803,290.33982769572475,224.84249035652542,184.25448376151235
290.9064622124863,141.44336367814103,333.9305929566176,205.7147327061681,232.2921995658578,245.51094066819363,235.73203005154087,260.39313351547,291.5745647664071,292.4337600003254,220.13732936375513,194.57627118644066
285.8342661130168,140.79833372299618,350.48127047752087,212.49345034669747,236.28189805579117,248.39766965447683,235.95437870692524,251.48189154395962,286.4323573770055,287.3626659996577,236.86020714135827,192.247311827957
256.9930410577592,145.35200500604176,354.10239469870476,204.34020074884054,249.80623484667726,211.62953711588148,195.49685687620527,227.60711332279382,256.7949785558169,258.52056895821664,230.95272033363085,192.83359746434232
229.11701127819552,156.99899111661597,349.3143808550885,195.72038210105916,257.0658342055989,200.09736921564945,188.5675963192987,208.15752206334622,228.1556494758542,230.64177324006684,223.7931634443771,197.64136191677179
205.3818439269981,187.82544923946048,333.09471238502056,193.11478157959053,270.31990688019613,188.81714334151542,182.34017391985176,195.4379212587337,203.9522911750285,206.90224121875406,215.7110892648416,239.68833048283122
189.23627565493078,226.0849778844543,306.2971413520947,178.22233409185972,281.57420782431814,168.64047237764103,177.72141187813412,192.1694967941912,187.5980827302277,190.751234544408,207.08825204591352,241.26963409192325
178.8584379358438,228.0599579993089,280.27490994626095,190.94552463618882,284.68463693163113,164.62276984337066,176.41583897454322,192.96033844309537,177.18226393061838,180.3672819168153,198.29187063223802,251.95085588072888
181.91463197291034,237.4858677023153,262.694705022935,197.10629741700959,297.6772931584492,153.19567054190662,174.9810428228349,203.06673109212468,180.17535031521953,183.41759349972816,192.19937606755147,283.85944751381214
