,Unnamed: 0,model_name,mean_squared_error,mean_absolute_error,root_mean_squared_error,r2_score_,mape
0,0,naive,669.253,17.7597,25.8699,0.7259,7.4772
1,1,tft,512.0582,14.9456,22.6287,0.7903,6.2223
2,2,lstm,718.2402,18.5033,26.8,0.7058,7.7944
3,3,nbeats,824.1267,20.0553,28.7076,0.6624,8.4444
4,4,deepar,4190.4556,54.9676,64.7337,-0.7164,23.6953
5,5,tcn,499.0866,13.8507,22.3402,0.7956,5.8706
6,6,transformer,636.7859,18.466,25.2346,0.7392,7.7625
7,7,arima,629.172,16.5583,25.0833,0.7423,6.947
8,8,exponential_smoothing,695.9174,18.2426,26.3802,0.715,7.6694
9,9,theta,669.2901,17.7509,25.8706,0.7259,7.4749
10,10,fft,2295.0866,40.0957,47.9071,0.0599,16.6586
